epoch,accuracy,loss,val_accuracy,val_loss
0,0.8913703560829163,0.3601578176021576,0.9783333539962769,0.08146338909864426
1,0.9659629464149475,0.11249752342700958,0.98416668176651,0.05784361809492111
2,0.9739259481430054,0.08566884696483612,0.9853333234786987,0.04802011698484421
3,0.9781110882759094,0.07146292924880981,0.9890000224113464,0.04297569766640663
4,0.9798333048820496,0.06285391002893448,0.9891666769981384,0.039454277604818344
5,0.9823518395423889,0.05616564303636551,0.9901666641235352,0.03788550943136215
6,0.9841481447219849,0.0517413392663002,0.9884999990463257,0.038033850491046906
7,0.9838888645172119,0.04995129257440567,0.9891666769981384,0.0359354205429554
8,0.9853518605232239,0.04599244147539139,0.9903333187103271,0.034276653081178665
9,0.9862777590751648,0.04309162497520447,0.9896666407585144,0.030168214812874794
10,0.9868333339691162,0.0408124178647995,0.9911666512489319,0.0298890583217144
11,0.987500011920929,0.039371080696582794,0.9898333549499512,0.032026100903749466
12,0.9878888726234436,0.037765927612781525,0.9901666641235352,0.0296627189964056
13,0.9883148074150085,0.035412028431892395,0.9916666746139526,0.028111137449741364
14,0.9890000224113464,0.03268253058195114,0.9921666383743286,0.03039868362247944
